### PTX opcode counts, exact (high N = 1,048,576)

opcode                    tilelang        triton
add.s32                         21             3
bra                             24             0
setp.lt.s32                     18             2
add.s64                         20             0
mov.b32                         16             1
setp.gt.s32                     16             0
mul.lo.s32                      12             1
selp.b64                        12             0
sub.s32                         10             1
and.pred                        10             0
selp.b32                         6             4
xor.pred                         8             2
cvt.u64.u32                      9             0
div.s32                          6             3
mov.u32                          2             6
setp.ne.b32                      8             0
setp.ge.s32                      8             0
shr.s32                          8             0
setp.ne.b64                      8             0
cvt.u32.u64                      8             0
and.b32                          4             3
ld.param.b32                     3             3
shl.b32                          3             3
or.pred                          6             0
or.b32                           3             2
mul.wide.u32                     5             0
or.b64                           5             0
setp.eq.b32                      2             2
and.b64                          4             0
div.u32                          4             0
bra.uni                          4             0
div.s64                          4             0
mul.lo.s64                       4             0
sub.s64                          4             0
setp.eq.b64                      4             0
mad.lo.s64                       4             0
shl.b64                          4             0
ld.global.b32                    4             0
setp.geu.f32                     4             0
selp.f32                         4             0
TOTAL                          317            46

### PTX opcode counts, grouped (high N = 1,048,576)

opcode      tilelang        triton
setp              68             6
add               41             3
bra               28             0
selp              22             4
mov               18             7
mul               22             1
and               18             3
cvt               18             0
div               14             3
or                14             2
sub               14             1
ld                 8             6
shl                7             3
xor                8             2
shr                8             0
mad                4             2
st                 4             2
cvta               1             0
rem                0             1
TOTAL            317            46

### SASS opcode counts, exact (high N = 1,048,576)

opcode                         tilelang        triton        cutile
VIADD               30             9            26
LOP3                27             8            25
IADD3               45             3             0
NOP                 10            11            10
IABS                12             6            10
BRA                 24             1             1
LDCU                16             3             4
LEA                 16             4             0
FSEL                 4             0            16
LDC                  9             3             4
F2I                 11             2             3
I2F                 11             2             2
MUFU                11             2             2
LDG                  4             2             8
STG                  4             2             8
FSETP                4             2             4
BSSY                 9             0             0
BSYNC                9             0             0
MOV                  8             0             0
VIMNMX               0             0             8
EXIT                 3             2             2
SHF                  1             0             4
S2R                  1             2             1
CALL                 4             0             0
PLOP3                4             0             0
BAR                  0             0             3
S2UR                 1             0             1
TOTAL              680           128           352

### Division-related instruction sites (high N = 1,048,576)

PTX  tilelang   14  {'div.s32': 6, 'div.s64': 4, 'div.u32': 4}
PTX  triton      4  {'div.s32': 3, 'rem.s32': 1}
SASS tilelang   33  {'F2I.FTZ.U32.TRUNC.NTZ': 10, 'F2I.U64.TRUNC': 1, 'I2F.RP': 6, 'I2F.U32.RP': 4, 'I2F.U64.RP': 1, 'MUFU.RCP': 11}
SASS triton      6  {'F2I.FTZ.U32.TRUNC.NTZ': 2, 'I2F.RP': 2, 'MUFU.RCP': 2}
SASS cutile      8  {'F2I.FTZ.U32.TRUNC.NTZ': 2, 'F2I.U32.TRUNC.NTZ': 1, 'I2F.RP': 2, 'I2FP.F32.U32': 1, 'MUFU.RCP': 2}

### PTX opcode counts, exact (low N = 4,096)

opcode                    tilelang        triton
add.s32                         21             3
bra                             24             0
setp.lt.s32                     18             2
add.s64                         20             0
mov.b32                         16             1
setp.gt.s32                     16             0
mul.lo.s32                      12             1
selp.b64                        12             0
sub.s32                         10             1
and.pred                        10             0
selp.b32                         6             4
xor.pred                         8             2
cvt.u64.u32                      9             0
div.s32                          6             3
mov.u32                          2             6
setp.ne.b32                      8             0
setp.ge.s32                      8             0
shr.s32                          8             0
setp.ne.b64                      8             0
cvt.u32.u64                      8             0
and.b32                          4             3
ld.param.b32                     3             3
shl.b32                          3             3
or.pred                          6             0
or.b32                           3             2
mul.wide.u32                     5             0
or.b64                           5             0
setp.eq.b32                      2             2
and.b64                          4             0
div.u32                          4             0
bra.uni                          4             0
div.s64                          4             0
mul.lo.s64                       4             0
sub.s64                          4             0
setp.eq.b64                      4             0
mad.lo.s64                       4             0
shl.b64                          4             0
ld.global.b32                    4             0
setp.geu.f32                     4             0
selp.f32                         4             0
TOTAL                          317            46

### PTX opcode counts, grouped (low N = 4,096)

opcode      tilelang        triton
setp              68             6
add               41             3
bra               28             0
selp              22             4
mov               18             7
mul               22             1
and               18             3
cvt               18             0
div               14             3
or                14             2
sub               14             1
ld                 8             6
shl                7             3
xor                8             2
shr                8             0
mad                4             2
st                 4             2
cvta               1             0
rem                0             1
TOTAL            317            46

### SASS opcode counts, exact (low N = 4,096)

opcode                         tilelang        triton        cutile
IMAD                                 59            10            44
LOP3.LUT                             27             8            61
IMAD.MOV                             30            10            50
VIADD                                30             9            50
SEL                                  40             8            40
IMAD.MOV.U32                         47             7            21
IMAD.IADD                            25             4            40
ISETP.GE.U32.AND                     16             3            48
ISETP.GE.AND                         23             6            37
IMAD.HI.U32                          29             6            18
ISETP.NE.U32.AND                     23             1            24
IADD3                                39             3             0
IABS                                 12             6            18
FSEL                                  4             0            32
IMAD.WIDE                             1             0            32
NOP                                  10            11            10
ISETP.GT.U32.AND                      6             5            16
BRA                                  24             1             1
ISETP.LT.AND                          8             0            16
IMAD.X                               23             0             0
LDG.E                                 4             0            16
STG.E                                 4             0            16
IMAD.WIDE.U32                        18             0             0
VIMNMX                                0             0            16
LDCU                                 11             1             3
MUFU.RCP                             11             2             2
F2I.FTZ.U32.TRUNC.NTZ                10             2             2
ISETP.NE.AND                          6             2             5
IMAD.U32                             12             0             0
LDC                                   5             3             3
ISETP.GT.AND                         11             0             0
I2F.RP                                6             2             2
BSSY.RECONVERGENT                     9             0             0
SHF.R.S32.HI                          1             0             8
BSYNC.RECONVERGENT                    9             0             0
FSETP.LEU.XOR                         0             1             8
LDCU.64                               5             2             1
LEA.HI.SX32                           8             0             0
MOV                                   8             0             0
ISETP.NE.U32.AND.EX                   8             0             0
TOTAL                               680           128           656

### SASS opcode counts, grouped (low N = 4,096)

opcode        tilelang        triton        cutile
IMAD               244            38           206
ISETP              113            18           146
LOP3                27             8            61
VIADD               30             9            50
SEL                 40             8            40
IADD3               45             3             0
IABS                12             6            18
FSEL                 4             0            32
NOP                 10            11            10
BRA                 24             1             1
LDCU                16             3             4
LDG                  4             2            16
STG                  4             2            16
LEA                 16             4             0
LDC                  9             3             4
F2I                 11             2             3
VIMNMX               0             0            16
I2F                 11             2             2
MUFU                11             2             2
FSETP                4             2             8
BSSY                 9             0             0
SHF                  1             0             8
BSYNC                9             0             0
MOV                  8             0             0
EXIT                 3             2             2
S2R                  1             2             1
CALL                 4             0             0
PLOP3                4             0             0
BAR                  0             0             3
S2UR                 1             0             1
TOTAL              680           128           656

### Division-related instruction sites (low N = 4,096)

PTX  tilelang   14  {'div.s32': 6, 'div.s64': 4, 'div.u32': 4}
PTX  triton      4  {'div.s32': 3, 'rem.s32': 1}
SASS tilelang   33  {'F2I.FTZ.U32.TRUNC.NTZ': 10, 'F2I.U64.TRUNC': 1, 'I2F.RP': 6, 'I2F.U32.RP': 4, 'I2F.U64.RP': 1, 'MUFU.RCP': 11}
SASS triton      6  {'F2I.FTZ.U32.TRUNC.NTZ': 2, 'I2F.RP': 2, 'MUFU.RCP': 2}
SASS cutile      8  {'F2I.FTZ.U32.TRUNC.NTZ': 2, 'F2I.U32.TRUNC.NTZ': 1, 'I2F.RP': 2, 'I2FP.F32.U32': 1, 'MUFU.RCP': 2}
